Description:	loop-jki, three-loop dgemm.

Size: 31	Mflop/s:  3081.65	Percentage: 16.05
Size: 32	Mflop/s:  3722.16	Percentage: 19.39
Size: 33	Mflop/s:  3415.35	Percentage: 17.79
Size: 63	Mflop/s:  3774.28	Percentage: 19.66
Size: 64	Mflop/s:  4449.75	Percentage: 23.18
Size: 65	Mflop/s:  3965.64	Percentage: 20.65
Size: 95	Mflop/s:  3806.47	Percentage: 19.83
Size: 96	Mflop/s:  4405.66	Percentage: 22.95
Size: 97	Mflop/s:  3927.19	Percentage: 20.45
Size: 127	Mflop/s:  3952.74	Percentage: 20.59
Size: 128	Mflop/s:  3889.43	Percentage: 20.26
Size: 129	Mflop/s:  4042.97	Percentage: 21.06
Size: 159	Mflop/s:  3936.65	Percentage: 20.50
Size: 160	Mflop/s:  4434.26	Percentage: 23.10
Size: 161	Mflop/s:  3987.89	Percentage: 20.77
Size: 191	Mflop/s:  3623.02	Percentage: 18.87
Size: 192	Mflop/s:  3975.22	Percentage: 20.70
Size: 193	Mflop/s:  3667.85	Percentage: 19.10
Size: 223	Mflop/s:  3471.27	Percentage: 18.08
Size: 224	Mflop/s:  3829.22	Percentage: 19.94
Size: 225	Mflop/s:  3519.69	Percentage: 18.33
Size: 255	Mflop/s:  3637.43	Percentage: 18.94
Size: 256	Mflop/s:  3541.13	Percentage: 18.44
Size: 257	Mflop/s:   3706.8	Percentage: 19.31
Size: 287	Mflop/s:  3558.69	Percentage: 18.53
Size: 288	Mflop/s:  3673.32	Percentage: 19.13
Size: 289	Mflop/s:  3558.69	Percentage: 18.53
Size: 319	Mflop/s:  3577.37	Percentage: 18.63
Size: 320	Mflop/s:  3671.44	Percentage: 19.12
Size: 321	Mflop/s:  3582.52	Percentage: 18.66
Size: 351	Mflop/s:   3594.2	Percentage: 18.72
Size: 352	Mflop/s:  3697.99	Percentage: 19.26
Size: 353	Mflop/s:  3598.58	Percentage: 18.74
Size: 383	Mflop/s:  3609.23	Percentage: 18.80
Size: 384	Mflop/s:  3655.09	Percentage: 19.04
Size: 385	Mflop/s:  3618.72	Percentage: 18.85
Size: 415	Mflop/s:  3625.67	Percentage: 18.88
Size: 416	Mflop/s:   3722.2	Percentage: 19.39
Size: 417	Mflop/s:  3630.98	Percentage: 18.91
Size: 447	Mflop/s:  3635.44	Percentage: 18.93
Size: 448	Mflop/s:  3730.81	Percentage: 19.43
Size: 449	Mflop/s:  3640.54	Percentage: 18.96
Size: 479	Mflop/s:  3644.65	Percentage: 18.98
Size: 480	Mflop/s:  3739.68	Percentage: 19.48
Size: 481	Mflop/s:  3649.31	Percentage: 19.01
Size: 511	Mflop/s:  3651.36	Percentage: 19.02
Size: 512	Mflop/s:  3597.74	Percentage: 18.74
Size: 513	Mflop/s:  3661.16	Percentage: 19.07
Size: 543	Mflop/s:  3652.66	Percentage: 19.02
Size: 544	Mflop/s:  3722.37	Percentage: 19.39
Size: 545	Mflop/s:   3657.5	Percentage: 19.05
Size: 575	Mflop/s:  3641.69	Percentage: 18.97
Size: 576	Mflop/s:  3707.49	Percentage: 19.31
Size: 577	Mflop/s:  3644.78	Percentage: 18.98
Size: 607	Mflop/s:  3643.88	Percentage: 18.98
Size: 608	Mflop/s:  3710.68	Percentage: 19.33
Size: 609	Mflop/s:  3648.79	Percentage: 19.00
Size: 639	Mflop/s:  3649.93	Percentage: 19.01
Size: 640	Mflop/s:  3682.97	Percentage: 19.18
Size: 641	Mflop/s:  3651.33	Percentage: 19.02
Size: 671	Mflop/s:  3653.53	Percentage: 19.03
Size: 672	Mflop/s:  3717.76	Percentage: 19.36
Size: 673	Mflop/s:  3633.39	Percentage: 18.92
Size: 703	Mflop/s:  3641.92	Percentage: 18.97
Size: 704	Mflop/s:  3719.09	Percentage: 19.37
Size: 705	Mflop/s:  3650.83	Percentage: 19.01
Size: 735	Mflop/s:  3651.48	Percentage: 19.02
Size: 736	Mflop/s:  3725.39	Percentage: 19.40
Size: 737	Mflop/s:  3658.58	Percentage: 19.06
Size: 767	Mflop/s:  3664.41	Percentage: 19.09
Size: 768	Mflop/s:  3675.72	Percentage: 19.14
Size: 769	Mflop/s:  3668.89	Percentage: 19.11
Size: 799	Mflop/s:  3668.47	Percentage: 19.11
Size: 800	Mflop/s:  3731.17	Percentage: 19.43
Size: 801	Mflop/s:  3672.64	Percentage: 19.13
Size: 831	Mflop/s:   3672.7	Percentage: 19.13
Size: 832	Mflop/s:  3725.85	Percentage: 19.41
Size: 833	Mflop/s:  3675.34	Percentage: 19.14
Size: 863	Mflop/s:  3674.82	Percentage: 19.14
Size: 864	Mflop/s:   3737.2	Percentage: 19.46
Size: 865	Mflop/s:  3678.06	Percentage: 19.16
Size: 895	Mflop/s:  3676.66	Percentage: 19.15
Size: 896	Mflop/s:  3710.98	Percentage: 19.33
Size: 897	Mflop/s:   3680.5	Percentage: 19.17
